,steps,episodes,loss,averageReturn
500,5393,5010,-8.457887452095747e-05,2.0
501,5403,5020,-0.000209666759474203,-2.0
502,5413,5030,-5.506011802935973e-05,0.0
503,5423,5040,0.0006056680576875806,0.0
504,5433,5050,0.0005641800235025585,0.0
505,5443,5060,0.0008228081278502941,-4.0
506,5453,5070,0.001508284593001008,0.0
507,5463,5080,0.0005503987777046859,-2.0
508,5473,5090,-0.000489377009216696,-4.0
509,5483,5100,0.0017592193325981498,-4.0
510,5493,5110,3.59804616891779e-05,-6.0
511,5503,5120,-0.0001809061213862151,-4.0
512,5513,5130,0.00017635562107898295,2.0
513,5523,5140,0.0007143373368307948,-2.0
514,5533,5150,-0.00040918542072176933,-6.0
515,5543,5160,-6.019184183969628e-06,-2.0
516,5553,5170,0.00022113221348263323,0.0
517,5563,5180,0.00010047750402009115,2.0
518,5573,5190,-0.00012746469292324036,-4.0
519,5583,5200,0.0001520202204119414,2.0
520,5593,5210,0.0005310303531587124,-2.0
521,5603,5220,0.0027162584010511637,-6.0
522,5613,5230,0.0002216148131992668,-2.0
523,5623,5240,0.00026177120162174106,-2.0
524,5633,5250,0.0003641624643933028,-4.0
525,5643,5260,0.00045605297782458365,-4.0
526,5653,5270,0.00036084005841985345,4.0
527,5663,5280,0.0008348991395905614,-2.0
528,5673,5290,0.00017489523452240974,-6.0
529,5683,5300,0.00035640131682157516,0.0
530,5693,5310,0.0013870613183826208,-6.0
531,5703,5320,0.0012061424786224961,-6.0
532,5713,5330,-0.0004281334113329649,-6.0
533,5723,5340,0.003334095235913992,0.0
534,5733,5350,-0.00013622736150864512,-8.0
535,5743,5360,0.0016514394665136933,-2.0
536,5753,5370,0.0005365145625546575,2.0
537,5763,5380,-0.0017141386633738875,-2.0
538,5773,5390,-0.0001146619688370265,-2.0
539,5783,5400,0.0003288191801402718,2.0
540,5793,5410,-0.000554189900867641,0.0
541,5803,5420,0.0002475943765603006,-6.0
542,5813,5430,0.0015070943627506495,-2.0
543,5823,5440,0.0013158784713596106,2.0
544,5833,5450,0.0005926932790316641,-2.0
545,5843,5460,0.0021636406891047955,0.0
546,5853,5470,-6.228537677088752e-05,0.0
547,5863,5480,0.0016195254866033792,0.0
548,5873,5490,0.0006690567824989557,0.0
549,5883,5500,-3.913140972144902e-06,-6.0
550,5893,5510,0.0004079717327840626,2.0
