,trial_name,epochs,learning_rate,dropout_val,l2_val,layer_size,training_loss,training_mae,training_mse,validation_loss,validation_mae,validation_mse,test_loss,test_mae,test_mse
86,Ep50_Lr005_Do3_L20001_Ls87,50,0.005,0.3,0.0001,87,0.01277987752109766,0.06959753483533859,0.011515544727444649,0.008887838572263718,0.062189627438783646,0.007645623758435249,0.009009381756186485,0.06245983764529228,0.007767165079712868
87,Ep50_Lr005_Do3_L21e-05_Ls29,50,0.005,0.3,1e-05,29,0.011297878809273243,0.06794580072164536,0.010839699767529964,0.00969774927943945,0.059035856276750565,0.009240330196917057,0.009721905924379826,0.05909526348114014,0.009264479391276836
88,Ep50_Lr005_Do3_L21e-05_Ls58,50,0.005,0.3,1e-05,58,0.01095364335924387,0.06468598544597626,0.010319825261831284,0.00787611398845911,0.055015940219163895,0.0072419955395162106,0.007886288687586784,0.054788704961538315,0.007252171169966459
89,Ep50_Lr005_Do3_L21e-05_Ls87,50,0.005,0.3,1e-05,87,0.010967007838189602,0.06511501967906952,0.010253019630908966,0.00783525500446558,0.055417466908693314,0.007121044676750898,0.007933614775538445,0.055421628057956696,0.007219407707452774
90,Ep50_Lr005_Do4_L2001_Ls29,50,0.005,0.4,0.001,29,0.01822449266910553,0.08827763795852661,0.016672801226377487,0.01417799387127161,0.0734032392501831,0.012661398388445377,0.014231273904442787,0.07344496250152588,0.012714684940874577
91,Ep50_Lr005_Do4_L2001_Ls58,50,0.005,0.4,0.001,58,0.017665155231952667,0.0858759880065918,0.015844909474253654,0.012409351766109467,0.06664930284023285,0.010590615682303905,0.01245847251266241,0.06655485183000565,0.010639737360179424
92,Ep50_Lr005_Do4_L2001_Ls87,50,0.005,0.4,0.001,87,0.018043270334601402,0.08703438937664032,0.016382940113544464,0.012425768189132214,0.06911919265985489,0.010797984898090363,0.012444431893527508,0.06913793832063675,0.010816649533808231
93,Ep50_Lr005_Do4_L20001_Ls29,50,0.005,0.4,0.0001,29,0.016048304736614227,0.08296454697847366,0.01519457995891571,0.012394795194268227,0.07450038194656372,0.011552299372851849,0.012419484555721283,0.07471733540296555,0.011576985940337181
94,Ep50_Lr005_Do4_L20001_Ls58,50,0.005,0.4,0.0001,58,0.015337338671088219,0.07860371470451355,0.014056908898055553,0.011794432066380978,0.07179158926010132,0.010542788542807102,0.012028299272060394,0.07251065969467163,0.010776652954518795
95,Ep50_Lr005_Do4_L20001_Ls87,50,0.005,0.4,0.0001,87,0.014913324266672134,0.07776883244514465,0.01368370745331049,0.01412070170044899,0.06772972643375397,0.01288252416998148,0.014131384901702404,0.06771926581859589,0.012893209233880043
